study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
srtx1,texas,9/1/2019,1,ethanol,male,no,351,327,298,298,1.3,15,10,9,11,0.3,2.4,205,0,0,0,2,3,1,3,2,1,2,1,1,0,0,0,0,0,0,2.4,2.4,0,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,2,ethanol,male,no,350,333,307,300,1.5,15,12,7,2.9,0.1,1,419,0,0,0,1,2,1,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
srtx1,texas,9/1/2019,3,ethanol,male,no,306,287,263,252,2,14,5,8,2.9,0.3,2.4,368,0,0,1,3,4,3,3,3,1,3,1,2,0,0,0,2.2,0,0,1,2.4,0,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,4,ethanol,male,no,337,311,285,277,2,14,7,7,2.9,0.3,3,416,0,0,1,3,3,2,3,3,2,3,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,
srtx1,texas,9/1/2019,5,ethanol,male,yes,340,,,,0.7,13,0,0,,,,404,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,6,ethanol,male,no,331,311,289,274,1.7,14,9,7,2.9,0.3,2.4,412,0,0,1,1,2,3,3,3,2,1,2,2,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,1,2.2,0,
srtx1,texas,9/1/2019,7,ethanol,male,yes,338,309,298,284,1.5,14,12,7,2.8,,,374,0,0,1,0,2,1,3,3,2,2,2,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,8,ethanol,male,no,354,333,317,303,1.8,14,9,7,2.8,0.8,3,332,0,0,1,1,3,2,3,3,2,2,3,2,0,0,0,3,3,0,2.4,2.4,2.4,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,9,ethanol,male,no,329,298,284,278,1.5,14,8,9,2.8,0.7,3,322,0,0,1,2,3,2,3,2,1,1,2,1,0,0,0,0,0,0,0,2.4,0,0,0,0,2.4,1,0,3,3,
srtx1,texas,9/1/2019,10,ethanol,male,no,342,317,299,285,2.4,13,8,5,2.8,1.2,3.6,498,0,0,2,3,3,1,4,5,1,4,4,2,0,3,0,0,0,3,3,3.6,0,2.4,0,2.4,0,0,1,0,2.6,
srtx1,texas,9/1/2019,11,ethanol,male,no,357,328,309,298,1.7,14,8,8,2.9,0.3,2.4,416,0,0,1,3,3,1,3,3,1,2,1,2,0,0,0,0,0,0,2.4,0,2.4,0,0,0,0,0,1,0,0,
srtx1,texas,9/1/2019,12,ethanol,male,no,325,312,298,286,1.8,14,10,7,2.8,0.1,2.4,302,0,0,1,2,2,1,3,3,2,3,2,2,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,13,ethanol,male,no,338,312,291,279,2.3,13,3,8,2.9,0.5,2.4,446,0,0,2,4,4,4,3,3,1,2,3,1,0,0,0,0,0,0,2.4,0,2.4,0,0,0,0,0,1,1,1,
srtx1,texas,9/1/2019,14,ethanol,male,no,335,329,322,304,2.2,14,9,7,2.8,1.8,3.6,337,0,0,1,2,2,2,3,3,2,3,4,4,0,0,3,0,0,0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.6,
srtx1,texas,9/1/2019,15,ethanol,female,no,232,225,218,201,1.7,15,10,8,3,0.6,3,440,0,0,0,2,2,1,3,3,1,4,3,1,0,0,0,0,0,0,0,2.4,2.4,2.4,0,0,0,0,0,0,3,
srtx1,texas,9/1/2019,16,ethanol,female,no,245,230,213,208,1.4,15,11,8,3,0.5,3.4,406,0,0,0,0,3,1,3,3,1,4,1,1,0,0,0,3.4,0,0,2.4,0,2.4,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,17,ethanol,female,no,220,198,192,185,1.8,15,7,7,3,2.1,3.8,429,0,0,0,2,4,2,3,3,2,2,2,1,3,3,3.4,0,2.2,3,3,3.8,3.6,2.4,2.4,0,3,3,0,0,0,
srtx1,texas,9/1/2019,18,ethanol,female,no,259,235,223,219,1.8,13,7,9,3,0.7,3.8,350,0,0,3,3,3,2,3,2,1,1,2,2,0,0,0,0,0,0,3.8,3,0,0,0,0,0,0,0,2,3.2,
srtx1,texas,9/1/2019,19,ethanol,female,no,237,230,210,212,1.6,14,9,8,3,0.1,2.2,344,0,0,1,1,2,3,3,3,1,1,3,1,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,20,ethanol,female,yes,238,224,218,,1.3,15,10,8,,,,282,0,0,0,1,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,21,ethanol,female,no,229,220,214,207,1.4,15,9,9,2.9,0.2,3.6,334,0,0,0,2,3,1,2,3,1,2,2,1,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,22,ethanol,female,yes,227,214,207,200,1.9,14,8,8,2.8,1,3.6,401,0,0,1,3,3,1,2,2,3,3,3,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,23,ethanol,female,no,236,223,215,210,1.7,14,9,9,2.9,0,0,321,0,0,1,1,3,2,3,2,1,2,3,2,0,0,0,0,2.2,0,2.4,3,3.6,3.6,0,0,0,2.4,0,0,0,
srtx1,texas,9/1/2019,24,ethanol,female,no,236,224,212,204,1.8,13,8,9,3,0.1,1.4,390,0,0,2,2,3,2,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
srtx1,texas,9/1/2019,25,ethanol,female,no,239,238,234,224,1.3,15,9,11,3,0.1,1,77,0,0,0,2,3,1,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4,0,0,
srtx1,texas,9/1/2019,26,ethanol,female,yes,245,226,221,,1.3,15,10,1,,,,,0,0,0,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,27,ethanol,female,no,235,220,212,207,1.3,14,9,10,3,0.1,1,318,0,0,1,2,3,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
srtx1,texas,9/1/2019,28,ethanol,female,yes,241,232,224,213,1.6,14,11,9,2.3,,,435,0,0,1,0,3,1,3,2,1,2,2,4,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,29,control,male,no,372,352,333,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,30,control,male,no,348,320,313,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,31,control,male,yes,320,305,300,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,32,control,male,no,340,315,321,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,33,control,male,no,353,336,326,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,34,control,male,no,315,303,297,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,35,control,male,no,333,317,310,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx1,texas,9/1/2019,36,control,male,no,336,316,322,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
